PUBCHEM.COMPOUND:33741	treats	DOID:1540
PUBCHEM.COMPOUND:4595	treats	DOID:0060058
PUBCHEM.COMPOUND:31401	treats	DOID:13580
PUBCHEM.COMPOUND:30751	treats	DOID:1793
PUBCHEM.COMPOUND:5284616	treats	DOID:3721
PUBCHEM.COMPOUND:126941	treats	DOID:2752
PUBCHEM.COMPOUND:5073	treats	DOID:12700
PUBCHEM.COMPOUND:5362129	treats	DOID:1612
PUBCHEM.COMPOUND:54454	treats	DOID:14330
PUBCHEM.COMPOUND:5755	treats	DOID:8552
PUBCHEM.COMPOUND:936	treats	DOID:162
PUBCHEM.COMPOUND:2083	treats	DOID:11589
PUBCHEM.COMPOUND:5702160	treats	DOID:305
PUBCHEM.COMPOUND:6018	treats	DOID:3312
PUBCHEM.COMPOUND:5311068	treats	DOID:9955
PUBCHEM.COMPOUND:10133	treats	DOID:10582
PUBCHEM.COMPOUND:36462	treats	DOID:305
PUBCHEM.COMPOUND:4058	treats	DOID:10923
PUBCHEM.COMPOUND:750	treats	DOID:1793
PUBCHEM.COMPOUND:1983	treats	DOID:2752
PUBCHEM.COMPOUND:3121	treats	DOID:2746
PUBCHEM.COMPOUND:445643	treats	DOID:0050908
PUBCHEM.COMPOUND:55891	treats	DOID:9352
PUBCHEM.COMPOUND:23725625	treats	DOID:3070
PUBCHEM.COMPOUND:11243969	treats	DOID:9744
PUBCHEM.COMPOUND:31703	treats	DOID:9253
PUBCHEM.COMPOUND:35370	treats	DOID:0060058
PUBCHEM.COMPOUND:9865528	treats	DOID:8432
PUBCHEM.COMPOUND:2907	treats	DOID:4450
PUBCHEM.COMPOUND:4054	treats	DOID:3683
PUBCHEM.COMPOUND:3759	treats	DOID:10652
PUBCHEM.COMPOUND:3478	treats	DOID:9744
PUBCHEM.COMPOUND:3059	treats	DOID:9351
PUBCHEM.COMPOUND:6741	treats	DOID:1612
PUBCHEM.COMPOUND:10607	treats	DOID:305
PUBCHEM.COMPOUND:702	treats	DOID:9352
PUBCHEM.COMPOUND:3690	treats	DOID:2154
PUBCHEM.COMPOUND:4091	treats	DOID:14261
PUBCHEM.COMPOUND:6883	treats	DOID:11723
PUBCHEM.COMPOUND:4946	treats	DOID:4964
PUBCHEM.COMPOUND:6167	treats	DOID:162
PUBCHEM.COMPOUND:6049	treats	DOID:9256
PUBCHEM.COMPOUND:5360373	treats	DOID:3571
